"LAKE_ID","WATER","html","X_Coordinate","Y_Coordinate"
"0104TIM5635","Timber Lake","report_Timber Lake(0104TIM5635).html",-78.678703,42.352501
"0105BRO0160K","Brocton Reservoir","report_Brocton Reservoir(0105BRO0160K).html",-79.42637,42.36948
"0105BUR0162","Burr Reservoir","report_Burr Reservoir(0105BUR0162).html",-79.424843,42.364158
"0105EMU0144","East Mud Lake","report_East Mud Lake(0105EMU0144).html",-79.09632,42.43353
"0105FRE0160","Fredonia Reservoir","report_Fredonia Reservoir(0105FRE0160).html",-79.309897,42.395113
"0105MIN0165A","Minton Reservoir","report_Minton Reservoir(0105MIN0165A).html",-79.57616,42.29744
"0105SIL0157","Silver Creek Reservoir","report_Silver Creek Reservoir(0105SIL0157).html",-79.09329,42.47055
"0201ALL5357","Allegheny Reservoir","report_Allegheny Reservoir(0201ALL5357).html",-78.959616,42.003397
"0201ALM5535","Alma Pond","report_Alma Pond(0201ALM5535).html",-78.00189,42.01421
"0201CAS0109C","Case Lake","report_Case Lake(0201CAS0109C).html",-78.4412,42.32543
"0201CUB0115","Cuba Lake","report_Cuba Lake(0201CUB0115).html",-78.292801,42.253399
"0201HAR0110A","Harwood Lake","report_Harwood Lake(0201HAR0110A).html",-78.38275,42.38225
"0201LIN0097A","Linlyco Lake","report_Linlyco Lake(0201LIN0097A).html",-78.830498,42.273102
"0201QUA5359","Quaker Lake","report_Quaker Lake(0201QUA5359).html",-78.876057,42.050338
"0201RED0095B","Red House Lake","report_Red House Lake(0201RED0095B).html",-78.745892,42.104343
"0201REDXXX1","Red House Brook","report_Red House Brook(0201REDXXX1).html",-78.724061,42.098318
"0201SCI0090B","Science Lake","report_Science Lake(0201SCI0090B).html",-78.76691,42.01048
"0201STOXXX1","Stoddard Creek","report_Stoddard Creek(0201STOXXX1).html",-78.747392,42.097272
"0202AIRXXX1","Airport Pond","report_Airport Pond(0202AIRXXX1).html",-79.6854,42.14715
"0202BEA0131","Bear Lake","report_Bear Lake(0202BEA0131).html",-79.38433,42.348009
"0202CHA0122","Chautauqua Lake","report_Chautauqua Lake(0202CHA0122).html",-79.494302,42.242037
"0202CLY0150","Clymer Pond","report_Clymer Pond(0202CLY0150).html",-79.625742,42.013744
"0202FIN0153","Findley Lake","report_Findley Lake(0202FIN0153).html",-79.734506,42.119052
"0202LCA0133","Lower Cassadaga Lake","report_Lower Cassadaga Lake(0202LCA0133).html",-79.317402,42.345028
"0202LEOXXX1","Leo Morgan Wildlife Pond","report_Leo Morgan Wildlife Pond(0202LEOXXX1).html",-79.5447,42.086201
"0202MCA0135","Middle Cassadaga Lake","report_Middle Cassadaga Lake(0202MCA0135).html",-79.325798,42.346699
"0202NEW5669","New Albion Lake","report_New Albion Lake(0202NEW5669).html",-78.91524,42.30303
"0202UCA0136","Upper Cassadaga Lake","report_Upper Cassadaga Lake(0202UCA0136).html",-79.3256,42.357399
"0202UWB5366","Keyser Lake","report_Keyser Lake(0202UWB5366).html",-78.952645,42.101998
"0202UWB5581","Wiltse Marsh Point Pond","report_Wiltse Marsh Point Pond(0202UWB5581).html",-79.5261,42.087299
"0202UWB5582","Unnamed Water","report_Unnamed Water(0202UWB5582).html",-79.530779,42.089228
"0202UWB5604","Unnamed Water","report_Unnamed Water(0202UWB5604).html",-79.72377,42.17538
"0202WMU0145","West Mud Lake","report_West Mud Lake(0202WMU0145).html",-79.1779,42.40199
"0300ONT0000","Lake Ontario","report_Lake Ontario(0300ONT0000).html",-78.85162,43.31336
"0301BON0190B","Bond Lake","report_Bond Lake(0301BON0190B).html",-78.916952,43.181362
"0301BUC0153","Buck Pond","report_Buck Pond(0301BUC0153).html",-77.66383,43.28151
"0301CRA0155","Cranberry Pond","report_Cranberry Pond(0301CRA0155).html",-77.698107,43.301303
"0301GLE0167","Glenwood Lake","report_Glenwood Lake(0301GLE0167).html",-78.3897,43.234285
"0301JDNXXX1","Joe Davis Park Pond, Northeast","report_Joe Davis Park Pond, Northeast(0301JDNXXX1).html",-79.034351,43.215234
"0301JDSXXX1","Joe Davis Park Pond, Southeast","report_Joe Davis Park Pond, Southeast(0301JDSXXX1).html",-79.034482,43.213486
"0301LON0154","Long Pond","report_Long Pond(0301LON0154).html",-77.694472,43.290722
"0301WAT0166","Waterport Reservoir","report_Waterport Reservoir(0301WAT0166).html",-78.258499,43.3213
"0302BLI0077","Blind Sodus Bay","report_Blind Sodus Bay(0302BLI0077).html",-76.728302,43.338299
