LakeID,Y_Coordinate,X_Coordinate
0502BIR5140,42.3780,-77.1524
1401BIS0115,41.7085,-74.8334
1104BIS0553,43.8726,-74.0793
1004BLA0221,44.4620,-73.7423
1104BLA0478,43.9700,-73.6110
1104BLA0479,43.9672,-73.6020
1201BLA0780,43.3240,-74.6079
0801BLA0996,43.4528,-74.9004
1203BLA0832,43.2936,-74.7189
1203BLA0827,43.2533,-74.9159
0906BLA0001,44.5380,-75.5688
1401BLA0103,41.6573,-74.8605
1309BLA0912,42.2775,-73.8742
1104BLA0547,43.7826,-74.0790
0202BLA0144A,42.3907,-79.1913
0303BLA1028,43.8065,-76.2275
0703BLA0111,43.4877,-75.9423
0903BLA0179,44.1499,-74.5890
0902BLA0175,44.6329,-74.4797
0902BLA0233,44.4472,-74.4196
1003BLA0130,44.3074,-74.3821
0902BLA0256,44.4383,-74.2938
1003BLA0205,44.3144,-74.2675
1104BLA0696,44.0427,-74.1560
0903BLA0234,44.1986,-74.0763
1104BLA0389,43.8825,-73.9543
1104BLA0128,43.2299,-73.9343
1104BLA0329B,43.3713,-73.8139
1101BLA0107,43.1826,-73.7788
1302BLA0080,41.5098,-73.7564
1101BLA1084,42.9592,-73.7389
1310BLA0070,42.5504,-73.4764
1701BLA0788,40.9513,-72.2963
1310BLA0N80B,42.6177,-73.4096
0801BLA0681,43.7455,-75.0315
0903BLA0029A,44.4814,-74.7561
1702BLA0270,40.9225,-73.3382
0906BLA0047,44.0681,-75.4336
1404BLA0462A,42.4333,-74.5991
1501BLE1016G,41.2940,-74.1633
1202BLE0630A,42.4431,-74.4542
1201BLI0790A,43.3313,-74.7010
1401BLI0177,41.5567,-74.9010
0902BLI5121,44.6634,-74.6275
0902BLI0104,44.5266,-74.6211
0302BLI0077,43.3383,-76.7283
0602BLI0086,42.5054,-75.7296
1701BLO5033,40.8946,-72.8047
0703BLO0079,43.4422,-75.5842
0801BLO0984,43.5974,-75.0249
0801BLO0803,43.6418,-75.0221
0602BLO0038,42.4796,-75.9529
1005BLO0444,43.3904,-73.7034
1104BLO0477,43.9872,-73.6310
1302BLU0122A,41.1916,-73.5922
1302BLU0045D,41.2413,-73.8581
1104BLU0573,43.8143,-74.1427
0903BLU0307,43.8587,-74.4573
0402BLU0011,43.0278,-77.8209
0801BLU0640,43.8087,-75.0917
