row,LAKE_ID,WATER,X_Coordinate,Y_Coordinate,link,availability
115,0402HON0057,Honeoye Lake,-77.51607,42.73088,https://nysemail.sharepoint.com/:u:/r/sites/DEC/DOW/BWAM/LCI/Shared%20Documents/Lake.Reports/report_Honeoye%20Lake(0402HON0057).html?csf=1&e=Xxz1fg,available
116,0402HOR0018,Horseshoe Lake,-78.12039,43.00556,https://nysemail.sharepoint.com/:u:/r/sites/DEC/DOW/BWAM/LCI/Shared%20Documents/Lake.Reports/report_Horseshoe%20Lake(0402HOR0018).html?csf=1&e=Xxz1fg,available
118,0402MIL0016,Mill Pond,-78.05583,43.08393,https://nysemail.sharepoint.com/:u:/r/sites/DEC/DOW/BWAM/LCI/Shared%20Documents/Lake.Reports/report_Mill%20Pond(0402MIL0016).html?csf=1&e=Xxz1fg,available
120,0403AMI0159A,Amity Lake,-77.9869,42.21904,https://nysemail.sharepoint.com/:u:/r/sites/DEC/DOW/BWAM/LCI/Shared%20Documents/Lake.Reports/report_Amity%20Lake(0403AMI0159A).html?csf=1&e=Xxz1fg,available
122,0403FOS0161B,Foster Lake,-77.82399,42.23454,https://nysemail.sharepoint.com/:u:/r/sites/DEC/DOW/BWAM/LCI/Shared%20Documents/Lake.Reports/report_Foster%20Lake(0403FOS0161B).html?csf=1&e=Xxz1fg,available
124,0403HAN0150A,Hanging Bog,-78.24931,42.30523,https://nysemail.sharepoint.com/:u:/r/sites/DEC/DOW/BWAM/LCI/Shared%20Documents/Lake.Reports/report_Hanging%20Bog(0403HAN0150A).html?csf=1&e=Xxz1fg,available
125,0403MOS0144,Moss Lake,-78.186,42.3987,https://nysemail.sharepoint.com/:u:/r/sites/DEC/DOW/BWAM/LCI/Shared%20Documents/Lake.Reports/report_Moss%20Lake(0403MOS0144).html?csf=1&e=Xxz1fg,available
126,0403RUS0146,Rushford Lake,-78.1927,42.3806,https://nysemail.sharepoint.com/:u:/r/sites/DEC/DOW/BWAM/LCI/Shared%20Documents/Lake.Reports/report_Rushford%20Lake(0403RUS0146).html?csf=1&e=Xxz1fg,available
127,0403SIL0115,Silver Lake,-78.0348,42.6872,https://nysemail.sharepoint.com/:u:/r/sites/DEC/DOW/BWAM/LCI/Shared%20Documents/Lake.Reports/report_Silver%20Lake(0403SIL0115).html?csf=1&e=Xxz1fg,available
128,0403SPR0142,Spring Lake,-78.17693,42.49645,https://nysemail.sharepoint.com/:u:/r/sites/DEC/DOW/BWAM/LCI/Shared%20Documents/Lake.Reports/report_Spring%20Lake(0403SPR0142).html?csf=1&e=Xxz1fg,available
129,0403UWB0124A,Trout Pond,-78.0407,42.5918,https://nysemail.sharepoint.com/:u:/r/sites/DEC/DOW/BWAM/LCI/Shared%20Documents/Lake.Reports/report_Trout%20Pond(0403UWB0124A).html?csf=1&e=Xxz1fg,available
130,0403UWB5243,Unnamed Water,-77.9826,42.6045,https://nysemail.sharepoint.com/:u:/r/sites/DEC/DOW/BWAM/LCI/Shared%20Documents/Lake.Reports/report_Unnamed%20Water(0403UWB5243).html?csf=1&e=Xxz1fg,available
132,0404LOO0079,Loon Lake,-77.5669,42.4926,https://nysemail.sharepoint.com/:u:/r/sites/DEC/DOW/BWAM/LCI/Shared%20Documents/Lake.Reports/report_Loon%20Lake(0404LOO0079).html?csf=1&e=Xxz1fg,available
133,0404NUN0084A,Nunda Reservoir,-77.91652,42.54061,https://nysemail.sharepoint.com/:u:/r/sites/DEC/DOW/BWAM/LCI/Shared%20Documents/Lake.Reports/report_Nunda%20Reservoir(0404NUN0084A).html?csf=1&e=Xxz1fg,available
134,0501ELD0014,Eldridge Lake,-76.8173,42.11377,https://nysemail.sharepoint.com/:u:/r/sites/DEC/DOW/BWAM/LCI/Shared%20Documents/Lake.Reports/report_Eldridge%20Lake(0501ELD0014).html?csf=1&e=Xxz1fg,available
