LakeNum,LakeName,County,Town,LakeID,Y_Coordinate,X_Coordinate,Field4,Field5,Y_Coordinate_1,X_Coordinate_1,Field8,DEC_Region
132,Lake Guymard,Orange,Mount Hope,1402GUY0014,41.4284,-74.6008,,,,,,
,Lake Huntington,Sullivan,Cochecton,1401HUN0216,41.6829,-74.9904,,,,,,
218,Lake Kitchawan,Westchester,Pound Ridge,1302KIT0114,41.2435,-73.549,,,,,,
71,Lake Kiwassa,Franklin,Harrietstown,1003KIW0100,44.2945,-74.1581,,,,,,
,Lake Kristy (Tifft),Erie,Buffalo,0103UWB5343,42.8472,-78.8593,,,,,,
248,Lake Lacoma,Monroe,Perinton,0302LAC0132,43.0509,-77.4794,,,,,,
,Lake LaSalle,Erie,Buffalo,0102LA 5022,43.0043,-78.7812,,,,,,
60,Lake Lauderdale,Washington,Salem,1102LAU1121,43.0898,-73.3741,,,,,,
102,Lake Lincolndale,Westchester,Somers,1302LIN0057A,41.342,-73.7254,,,,,,
,Lake Lonely,Saratoga,Saratoga Springs,1101LON0030,43.0537,-73.7411,,,,,,
1,Lake Lucille,Rockland,New City,1501LUC0982B,41.1837,-73.9978,,,,,,
158,Lake Luzerne,Warren,Lake Luzerne,1104LUZ0318,43.3228,-73.8326,,,,,,
3,Lake Mahopac,Putnam,Mahopac,1302MAH0053,41.3805,-73.7394,,,,,,
159,Lake Meahagh,Westchester,Cortlandt,1301MEA0160,41.2535,-73.9506,,,,,,
228,Lake Missapogue (Big Fresh Pond),Suffolk,Southhampton,1701FRE0661,40.9222,-72.4188,,,,,,
18,Lake Moraine,Madison,Hamilton,0602MOR0152,42.8502,-75.5222,,,,,,
54,Lake Myosotis,Albany,Rensselaerville,1309MYO0954,42.5202,-74.1502,,,,,,
,Lake Neatahwanta,Oswego,Fulton,0701NEA0009,43.3081,-76.4372,,,,,,
86,Lake Nimham,Putnam,Kent,1302NIM0076E,41.4776,-73.7321,,,,,,
171,Lake of the Isles,Jefferson,Alexandria,0901ISLXXX1,44.3297,-75.9863,,,,,,
160,Lake of the Woods,Jefferson,Alexandria,0906OTH0009,44.3154,-75.7278,,,,,,
1006.3,Lake Ontario-Golden Hill,Niagara,Somerset,0301TUS5565,43.3149,-78.8413,,,,,,
